      kinetic_energy        0.000026
    potential_energy       -2.424541
        total_energy       -2.424516
      kinetic_energy        0.000103
    potential_energy       -2.424618
        total_energy       -2.424516
      kinetic_energy        0.000231
    potential_energy       -2.424747
        total_energy       -2.424516
      kinetic_energy        0.000411
    potential_energy       -2.424927
        total_energy       -2.424516
      kinetic_energy        0.000643
    potential_energy       -2.425158
        total_energy       -2.424516
      kinetic_energy        0.000926
    potential_energy       -2.425441
        total_energy       -2.424516
      kinetic_energy        0.001260
    potential_energy       -2.425776
        total_energy       -2.424516
      kinetic_energy        0.001646
    potential_energy       -2.426161
        total_energy       -2.424516
      kinetic_energy        0.002083
    potential_energy       -2.426598
        total_energy       -2.424516
      kinetic_energy        0.002571
    potential_energy       -2.427087
        total_energy       -2.424516
      kinetic_energy        0.003111
    potential_energy       -2.427627
        total_energy       -2.424516
      kinetic_energy        0.003703
    potential_energy       -2.428218
        total_energy       -2.424516
      kinetic_energy        0.004345
    potential_energy       -2.428861
        total_energy       -2.424516
      kinetic_energy        0.005039
    potential_energy       -2.429555
        total_energy       -2.424516
      kinetic_energy        0.005785
    potential_energy       -2.430300
        total_energy       -2.424516
      kinetic_energy        0.006581
    potential_energy       -2.431097
        total_energy       -2.424516
      kinetic_energy        0.007429
    potential_energy       -2.431945
        total_energy       -2.424516
      kinetic_energy        0.008329
    potential_energy       -2.432844
        total_energy       -2.424516
      kinetic_energy        0.009279
    potential_energy       -2.433795
        total_energy       -2.424516
      kinetic_energy        0.010281
    potential_energy       -2.434797
        total_energy       -2.424516
      kinetic_energy        0.011334
    potential_energy       -2.435850
        total_energy       -2.424516
      kinetic_energy        0.012439
    potential_energy       -2.436954
        total_energy       -2.424516
      kinetic_energy        0.013594
    potential_energy       -2.438110
        total_energy       -2.424516
      kinetic_energy        0.014801
    potential_energy       -2.439316
        total_energy       -2.424516
      kinetic_energy        0.016059
    potential_energy       -2.440574
        total_energy       -2.424516
      kinetic_energy        0.017368
    potential_energy       -2.441883
        total_energy       -2.424516
      kinetic_energy        0.018728
    potential_energy       -2.443243
        total_energy       -2.424516
      kinetic_energy        0.020139
    potential_energy       -2.444654
        total_energy       -2.424516
      kinetic_energy        0.021601
    potential_energy       -2.446117
        total_energy       -2.424516
      kinetic_energy        0.023114
    potential_energy       -2.447630
        total_energy       -2.424516
      kinetic_energy        0.024678
    potential_energy       -2.449194
        total_energy       -2.424516
      kinetic_energy        0.026293
    potential_energy       -2.450809
        total_energy       -2.424516
      kinetic_energy        0.027959
    potential_energy       -2.452475
        total_energy       -2.424516
      kinetic_energy        0.029676
    potential_energy       -2.454191
        total_energy       -2.424516
      kinetic_energy        0.031443
    potential_energy       -2.455959
        total_energy       -2.424516
      kinetic_energy        0.033261
    potential_energy       -2.457777
        total_energy       -2.424516
      kinetic_energy        0.035130
    potential_energy       -2.459646
        total_energy       -2.424516
      kinetic_energy        0.037049
    potential_energy       -2.461565
        total_energy       -2.424516
      kinetic_energy        0.039019
    potential_energy       -2.463535
        total_energy       -2.424516
      kinetic_energy        0.041040
    potential_energy       -2.465555
        total_energy       -2.424516
      kinetic_energy        0.043110
    potential_energy       -2.467626
        total_energy       -2.424516
      kinetic_energy        0.045232
    potential_energy       -2.469747
        total_energy       -2.424516
      kinetic_energy        0.047403
    potential_energy       -2.471919
        total_energy       -2.424516
      kinetic_energy        0.049624
    potential_energy       -2.474140
        total_energy       -2.424516
      kinetic_energy        0.051896
